nomor,tanggal,nama_pembeli,nama_barang,kuantum,nominal
401,6/4/2020,TOKO NURDIAH ,BERAS,950,9331850
402,6/4/2020,TOKO NURDIAH ,GULA,5000,60000000
403,6/4/2020,TOKO NURDIAH ,MIGOR,240,2964000
404,6/4/2020,TOKO NURDIAH ,TEPUNG,60,480000
405,6/4/2020,TOKO MUNIR,BERAS,1250,12278750
406,6/4/2020,TOKO MUNIR,GULA,500,6000000
407,6/4/2020,TOKO ABANG HERIYANSYAH ,BERAS,1500,14734500
408,6/4/2020,TOKO ABANG HERIYANSYAH ,GULA,900,10800000
409,6/4/2020,TOKO ABANG HERIYANSYAH ,MIGOR,600,7410000
410,6/4/2020,TOKO ABANG HERIYANSYAH ,TEPUNG,300,2400000
411,6/4/2020,TOKO KOTABARU,BERAS,2500,24557500
412,6/4/2020,TOKO KOTABARU,GULA,8500,102000000
413,6/4/2020,SAHABAT ANDA,BERAS,800,7858400
414,6/4/2020,SAHABAT ANDA,GULA,2550,30600000
415,6/4/2020,SAHABAT ANDA,MIGOR,180,2223000
416,6/4/2020,SAHABAT ANDA,TEPUNG,160,1280000
417,6/5/2020,Warung Nak Zihan,BERAS,1250,12278750
418,6/5/2020,Warung Nak Zihan,GULA,5050,60600000
419,6/5/2020,TOKO FAHRI,BERAS,1000,9823000
420,6/5/2020,TOKO FAHRI,GULA,2000,24000000
421,6/5/2020,TOKO ABIZAR,BERAS,1500,14734500
422,6/5/2020,TOKO ABIZAR,GULA,4750,57000000
423,6/5/2020,TOKO TOPIN,BERAS,850,8349550
424,6/5/2020,TOKO TOPIN,GULA,1250,15000000
425,6/5/2020,TOKO SIDAK,BERAS,500,4911500
426,6/5/2020,TOKO SIDAK,GULA,950,11400000
427,6/5/2020,TOKO BOB-i,BERAS,500,4911500
428,6/5/2020,TOKO BOB-i,GULA,3500,42000000
429,6/5/2020,TOKO ARI YANTO ,GULA,1000,12000000
430,6/5/2020,TOKO BERKAT USAHA,GULA,9550,114600000
431,6/5/2020,TOKO SUYONO (BINTANG KAPUAS),GULA,13000,156000000
432,6/8/2020,TPK PASAR JUNJUNG BUIH,GULA,1850,22200000
433,6/8/2020,TOKO SUPARNO (SMS),GULA,13000,156000000
434,6/8/2020,TOKO APO,GULA,6500,78000000
435,6/9/2020,TOKO JAYA SENTOSA,GULA,3500,42000000
436,6/9/2020,TOKO AMI,GULA,1300,15600000
437,6/9/2020,TOKO SYAMSUDIN (INTAN MART),GULA,2000,24000000
438,6/9/2020,TOKO M. DJAFARI (AFAR 99),GULA,1400,16800000
439,6/9/2020,TOKO BAS JAYA,GULA,2550,30600000
440,6/9/2020,TOKO ALIKA,GULA,1450,17400000
441,6/9/2020,TOKO ARDO,GULA,4300,51600000
442,6/9/2020,TOKO MAJU TERUS,GULA,2150,25800000
443,6/9/2020,TOKO ALIF,GULA,1150,13800000
444,6/10/2020,TOKO SYUHAINI,GULA,2950,35400000
445,6/10/2020,TOKO SYUHAINI,MIGOR,120,1482000
446,6/10/2020,TOKO SYUHAINI,TEPUNG,100,800000
447,6/10/2020,TOKO BERKAT USAHA,GULA,7450,89400000
448,6/10/2020,TOKO APO,GULA,10000,120000000
449,6/10/2020,TOKO YOGI,GULA,1050,12600000
450,6/10/2020,TOKO YOGI,MIGOR,132,1630200
451,6/10/2020,TOKO YOGI,TEPUNG,160,1280000
452,6/10/2020,TOKO AQIL,GULA,6900,82800000
453,6/10/2020,TOKO DEB,GULA,6500,78000000
454,6/10/2020,TOKO DIDIK PRIOJADMIKO ,BERAS,4000,42000000
455,6/10/2020,TOKO SUKARDI ,BERAS,5000,52500000
456,6/10/2020,TOKO RUDY ,BERAS,5000,52500000
457,6/10/2020,TOKO ABANG HERIYANSYAH ,BERAS,3000,31500000
458,6/10/2020,TOKO APRIYANTO ,BERAS,3010,31605000
459,6/10/2020,TOKO AHMAD PUTRA ,BERAS,2000,21000000
460,6/19/2020,TOKO RIZKI SAKYAH,BERAS,1500,15300000
461,6/19/2020,TOKO RIZKI SAKYAH,BERAS,1150,11296450
462,6/19/2020,TOKO RIZKI SAKYAH,TEPUNG,40,320000
463,6/19/2020,SAHABAT ANDA,BERAS,1300,13260000
464,6/19/2020,SAHABAT ANDA,BERAS,1100,10805300
465,6/19/2020,SAHABAT ANDA,TEPUNG,80,640000
466,6/19/2020,TOKO DARKUM KOPERASI DISPERINDAG ,BERAS,1230,12546000
467,6/19/2020,TOKO DARKUM KOPERASI DISPERINDAG ,BERAS,1000,9823000
468,6/19/2020,TOKO DARKUM KOPERASI DISPERINDAG ,TEPUNG,100,800000
469,6/19/2020,TOKO TOPIN,BERAS,1100,11220000
470,6/19/2020,TOKO TOPIN,BERAS,950,9331850
471,6/19/2020,TOKO IRVA,BERAS,950,9690000
472,6/19/2020,TOKO IRVA,BERAS,800,7858400
473,6/19/2020,TOKO HERUNIAWATI,BERAS,1300,13260000
474,6/19/2020,TOKO HERI HARYANTO ,BERAS,1000,10500000
475,6/19/2020,TOKO SIMON SUMARDI ,BERAS,1000,10500000
476,6/19/2020,TOKO DAVIS SUKA ,BERAS,1500,15750000
477,6/19/2020,TOKO DIANA RISTA ,BERAS,4000,42000000
478,6/19/2020,TOKO ABANG HERIYANSYAH ,BERAS,2000,21000000
479,6/19/2020,TOKO AMRAN ,BERAS,500,5250000
480,6/19/2020,TOKO ASEP SAFRUDIN ,BERAS,500,5250000
481,6/19/2020,TOKO DWIANA MARYATI ,BERAS,1100,11550000
482,6/19/2020,TOKO SOFIAN ,BERAS,3000,31500000
483,6/19/2020,TOKO PESSY MIAR ,BERAS,4000,42000000
484,6/19/2020,TOKO SRI MASMIDAH ,BERAS,5000,52500000
485,6/19/2020,TOKO ISNANI SITI RAFIAH ,BERAS,1000,10500000
486,6/19/2020,TOKO ANDREAS INDAH ,BERAS,5000,52500000
487,6/19/2020,TOKO DEWI AFRITA ,BERAS,5000,52500000
488,6/19/2020,TOKO FEBRIANTI INDAH LESTARI ,BERAS,2000,21000000
489,6/19/2020,TOKO KHET MEN ,BERAS,2500,26250000
490,6/19/2020,TOKO YENNI SUSILAWATI ,BERAS,1000,10500000
491,6/19/2020,TOKO SARDIYANTO ,BERAS,1000,10500000
492,6/19/2020,TOKO GATOT SUBROTO ,BERAS,500,5250000
493,6/19/2020,TOKO KARDI ,BERAS,1500,15750000
494,6/22/2020,TOKO SYAMSUDIN (INTAN MART),GULA,4000,47200000
495,6/22/2020,TOKO SUPARNO (SMS),GULA,5000,59000000
496,6/22/2020,TOKO ALIKA,GULA,100,1180000
497,6/22/2020,TOKO M. DJAFARI (AFAR 99),GULA,3000,35400000
498,6/22/2020,TOKO SIGID PAMBUDI ,GULA,600,7080000
499,6/22/2020,TOKO AQIL,GULA,100,1180000
500,6/23/2020,HOLIDAY MART,GULA,2500,29500000
501,6/23/2020,TOKO ABIZAR,GULA,500,5900000
502,6/23/2020,TOKO ALIKA,BERAS,450,4590000
503,6/23/2020,TOKO ALIKA,BERAS,50,491150
504,6/23/2020,YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,BERAS,190,2280000
505,6/23/2020,YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,BERAS,76,1748000
506,6/24/2020,PT. BANK RAKYAT INDONESIA (PERSERO) Tbk.,BERAS,300,3600000
507,6/24/2020,PT. BANK RAKYAT INDONESIA (PERSERO) Tbk.,BERAS,60,1380000
508,6/24/2020,TOKO M. DJAFARI (AFAR 99),GULA,1150,13570000
509,6/25/2020,PT. BANK RAKYAT INDONESIA (PERSERO) Tbk.,BERAS,675,8100000
510,6/25/2020,PT. BANK RAKYAT INDONESIA (PERSERO) Tbk.,BERAS,135,3105000
511,6/26/2020,TOKO DARKUM KOPERASI DISPERINDAG ,GULA,2000,23600000
512,6/26/2020,TOKO SYUHAINI,GULA,300,3540000
513,6/26/2020,TOKO BU YULI,BERAS,570,5814000
514,6/29/2020,TOKO ALEXANDER Y. ,BERAS,1000,10500000
515,6/29/2020,TOKO ARI YANTO ,BERAS,4000,42000000
516,6/29/2020,TOKO AGUSTINUS ,BERAS,5000,52500000
517,6/29/2020,TOKO HENI LAY ,BERAS,1000,10500000
518,6/29/2020,TOKO SRI MASMIDAH ,BERAS,5000,52500000
519,6/29/2020,TOKO SIGID PAMBUDI ,BERAS,1000,10500000
520,6/29/2020,TOKO URAI INA KURNIA ,BERAS,2000,21000000
521,6/29/2020,TOKO JESAYA GINTING ,BERAS,2500,26250000
522,6/29/2020,TOKO KIAN KIONG ,BERAS,1000,10500000
523,7/1/2020,TOKO ARDO,BERAS,380,3876000
524,7/1/2020,TOKO ARDO,GULA,600,7080000
525,7/6/2020,TOKO BERKAH DUA PUTRA,BERAS,105,1102500
526,7/6/2020,TOKO BERKAH DUA PUTRA,BERAS,750,7650000
527,7/6/2020,TOKO BERKAH DUA PUTRA,BERAS,300,2946900
528,7/6/2020,TOKO BERKAH DUA PUTRA,GULA,50,590000
529,7/7/2020,TOKO KHET MEN ,BERAS,1000,10500000
530,7/7/2020,TOKO JESAYA GINTING ,BERAS,2000,21000000
531,7/7/2020,TOKO GATOT SUBROTO ,BERAS,500,5250000
532,7/7/2020,TOKO ENDANG RASMINI ,BERAS,1000,10500000
533,7/7/2020,TOKO BUNAWI ,BERAS,1200,12600000
534,7/7/2020,TOKO ARI YANTO ,BERAS,3000,31500000
535,7/7/2020,TOKO EKO BUDI WINASIS ,BERAS,380,3990000
536,7/8/2020,TOKO SYUHAINI,BERAS,470,4794000
537,7/8/2020,TOKO SYUHAINI,GULA,350,4130000
538,7/10/2020,TOKO MAJU TERUS,GULA,1900,22420000
539,7/13/2020,TOKO BUNGUR,BERAS,100,1050000
540,7/13/2020,TOKO BUNGUR,BERAS,150,1473450
541,7/13/2020,TOKO BUNGUR,BERAS,29,667000
542,7/13/2020,TOKO BUNGUR,GULA,50,590000
543,7/13/2020,TOKO PESSY MIAR ,BERAS,4000,42000000
544,7/13/2020,TOKO ASUN ,BERAS,1500,15750000
545,7/13/2020,TOKO SILVIANA ,BERAS,2000,21000000
546,7/13/2020,TOKO JUANTI ,BERAS,2000,21000000
547,7/13/2020,TOKO IDAWATI ,BERAS,200,2100000
548,7/13/2020,TOKO MIKA ERNAWATI ,BERAS,350,3675000
549,7/13/2020,TOKO HERU SUSANTO ,BERAS,6000,63000000
550,7/13/2020,TOKO ALFONSO ,BERAS,5000,52500000
551,7/13/2020,TOKO IGNASIUS SUNARNO ,BERAS,5000,52500000
552,7/13/2020,TOKO FEBRIANTI INDAH LESTARI ,BERAS,1000,10500000
553,7/13/2020,TOKO BUNAWI ,BERAS,460,4830000
554,7/13/2020,TOKO AIDI K.,BERAS,50000,510000000
555,7/14/2020,TOKO KHET MEN ,BERAS,3000,31500000
556,7/14/2020,TOKO ACAP ,BERAS,1500,15750000
557,7/14/2020,TOKO ENDANG HARTATI ,BERAS,1500,15750000
558,7/14/2020,TOKO BUNAWI ,BERAS,1500,15750000
559,7/14/2020,TOKO SUKARDI ,BERAS,1800,18900000
560,7/17/2020,TOKO KIAN KIONG ,BERAS,1000,10485000
561,7/17/2020,TOKO PRAYOGA ,BERAS,2000,20970000
562,7/17/2020,TOKO ISNANI SITI RAFIAH ,BERAS,1000,10485000
563,7/17/2020,TOKO SIGID PAMBUDI ,BERAS,1500,15727500
564,7/17/2020,TOKO SARDIYANTO ,BERAS,1500,15727500
565,7/17/2020,TOKO ENDANG HARTATI ,BERAS,1000,10485000
566,7/17/2020,TOKO ANDREAS INDAH ,BERAS,7000,73395000
567,7/17/2020,TOKO BUNAWI ,BERAS,100,1048500
568,7/17/2020,TOKO KARDI ,BERAS,1500,15727500
569,7/17/2020,TOKO HENI LAY ,BERAS,1000,10485000
570,7/17/2020,TOKO ALEXANDER Y. ,BERAS,1000,10485000
571,7/17/2020,TOKO HERI HARYANTO ,BERAS,1000,10485000
572,7/17/2020,TOKO FATMAWATI ,BERAS,1500,15727500
573,7/17/2020,TOKO HERMANSYAH ,BERAS,300,3145500
574,7/17/2020,TOKO SOFIAN ,BERAS,2000,20970000
575,7/17/2020,TOKO NURDIAH ,BERAS,1500,15727500
576,7/17/2020,TOKO MAJU TERUS,BERAS,1550,15538750
577,7/20/2020,TOKO YENNI SUSILAWATI ,BERAS,1500,15727500
578,7/20/2020,TOKO PANISITAWATI HERMINA PAULA ,BERAS,3500,36697500
579,7/20/2020,TOKO DEWI AFRITA ,BERAS,5000,52425000
580,7/20/2020,TOKO ENDANG HARTATI ,BERAS,2000,20970000
581,7/20/2020,TOKO JESAYA GINTING ,BERAS,2500,26212500
582,7/20/2020,TOKO BUNAWI ,BERAS,760,7968600
583,7/20/2020,TOKO SUMARSONO ,BERAS,5000,52425000
584,7/21/2020,TOKO ARDO,BERAS,1400,14035000
585,7/21/2020,TOKO ARDO,GULA,450,5310000
586,7/21/2020,TOKO BUNAWI ,BERAS,180,1887300
587,7/21/2020,TOKO ARI YANTO ,BERAS,5000,52425000
588,7/21/2020,TOKO ALEXANDER Y. ,BERAS,1000,10485000
589,7/21/2020,TOKO APRIYANTO ,BERAS,2500,26212500
590,7/21/2020,TOKO HENDRA. S ,BERAS,1000,10485000
591,7/21/2020,TOKO DAVIS SUKA ,BERAS,1500,15727500
592,7/21/2020,TOKO DWIANA MARYATI ,BERAS,700,7339500
593,7/21/2020,TOKO SUNDARIANTO ,BERAS,500,5242500
594,7/21/2020,TOKO AMRAN ,BERAS,500,5242500
595,7/21/2020,YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,BERAS,180,2160000
596,7/21/2020,YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,BERAS,72,1656000
597,7/28/2020,TOKO BERKAH DUA PUTRA,TEPUNG,200,1600000
598,7/28/2020,TOKO ABANG HERIYANSYAH ,BERAS,4500,47182500
599,7/28/2020,TOKO AGUSTINUS ,BERAS,6000,62910000
600,8/4/2020,TOKO APO,TEPUNG,700,5600000
601,8/11/2020,TOKO BU YULI,BERAS,150,1571250
602,8/11/2020,TOKO BU YULI,BERAS,1500,15285000
603,8/11/2020,TOKO SIDAK,BERAS,100,1047500
604,8/11/2020,TOKO SIDAK,BERAS,1200,12228000
605,8/11/2020,TOKO ABIZAR,BERAS,100,1047500
606,8/11/2020,TOKO ABIZAR,BERAS,1100,11209000
607,8/11/2020,TOKO BUNGUR,BERAS,100,1047500
608,8/11/2020,TOKO BUNGUR,BERAS,1020,10393800
609,8/11/2020,TOKO BUNGUR,BERAS,1100,10809700
610,8/11/2020,TOKO BUNGUR,GULA,250,2950000
611,8/11/2020,TOKO FAKHLI HARUDI ,BERAS,17000,178245000
612,8/11/2020,TOKO IMIN ,BERAS,1500,15727500
613,8/11/2020,TOKO SRI MASMIDAH ,BERAS,9000,94365000
614,8/11/2020,TOKO PESSY MIAR ,BERAS,12000,125820000
615,8/11/2020,TOKO LINA ,BERAS,4000,41940000
616,8/11/2020,TOKO IIP KUSPOYO ,BERAS,2000,20970000
617,8/11/2020,TOKO NURFADILAH ,BERAS,2470,25897950
618,8/11/2020,TOKO ISNANI SITI RAFIAH ,BERAS,2000,20970000
619,8/11/2020,TOKO ABANG HERIYANSYAH ,BERAS,1500,15727500
620,8/11/2020,TOKO EKA SAPUTRA JAYA ,BERAS,1800,18873000
621,8/11/2020,TOKO SUBIANTO ,BERAS,1500,15727500
622,8/11/2020,TOKO MARDIUS ,BERAS,1500,15727500
623,8/11/2020,TOKO DAVIS SUKA ,BERAS,1500,15727500
624,8/11/2020,TOKO SILVIANA ,BERAS,2000,20970000
625,8/11/2020,TOKO FLORENTINA ,BERAS,1000,10485000
626,8/11/2020,TOKO FATMAWATI ,BERAS,1500,15727500
627,8/11/2020,TOKO APRIYANTO ,BERAS,2500,26212500
628,8/11/2020,TOKO SIMON SUMARDI ,BERAS,1300,13630500
629,8/11/2020,TOKO ARI YANTO ,BERAS,1800,18873000
630,8/11/2020,TOKO ALFONSO ,BERAS,6000,62910000
631,8/11/2020,TOKO ANDREAS INDAH ,BERAS,3130,32818050
632,8/12/2020,SAHABAT ANDA,BERAS,3,69000
633,8/12/2020,SAHABAT ANDA,GULA,200,2360000
634,8/12/2020,SAHABAT ANDA,TEPUNG,80,666080
635,8/14/2020,TOKO IGNASIUS SUNARNO ,BERAS,12000,125820000
636,8/14/2020,TOKO KARDI ,BERAS,2300,24115500
637,8/14/2020,TOKO BUNAWI ,BERAS,3000,31455000
638,8/14/2020,TOKO YAKOB ,BERAS,6000,62910000
639,8/14/2020,TOKO DEWI AFRITA ,BERAS,5500,57667500
640,8/14/2020,TOKO HERU SUSANTO ,BERAS,6000,62910000
641,8/14/2020,TOKO FEBRIANTI INDAH LESTARI ,BERAS,1200,12582000
642,8/14/2020,YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,BERAS,185,2220000
643,8/14/2020,YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,BERAS,74,1702000
644,8/19/2020,TOKO RIZKI SAKYAH,BERAS,350,3666250
645,8/19/2020,TOKO RIZKI SAKYAH,BERAS,1000,9827000
646,8/19/2020,TOKO RIZKI SAKYAH,GULA,150,1770000
647,8/24/2020,TOKO SIDAK,BERAS,65,680875
648,8/24/2020,TOKO SIDAK,BERAS,1000,10190000
649,8/24/2020,TOKO SIDAK,TEPUNG,20,166520
650,8/24/2020,TOKO FEBRIANTI INDAH LESTARI ,BERAS,1500,15727500
651,8/24/2020,TOKO KIAN KIONG ,BERAS,1000,10485000
652,8/24/2020,TOKO SARDIYANTO ,BERAS,2000,20970000
653,8/24/2020,TOKO DWI SUSILO ,BERAS,2000,20970000
654,8/24/2020,TOKO ENDANG RASMINI ,BERAS,1000,10485000
655,8/24/2020,TOKO URAI INA KURNIA ,BERAS,2500,26212500
656,8/26/2020,TOKO DEWI AFRITA ,BERAS,4000,41940000
657,8/27/2020,TOKO ANDREAS INDAH ,BERAS,2570,26946450
658,8/27/2020,Warung Nak Zihan,BERAS,1000,10355000
659,8/27/2020,Warung Nak Zihan,BERAS,150,1474050
660,8/27/2020,Warung Nak Zihan,GULA,50,590000
661,8/28/2020,TOKO FEBRIANTI INDAH LESTARI ,BERAS,1000,10485000
662,8/28/2020,TOKO BUNGUR,BERAS,160,1688000
663,8/28/2020,TOKO BUNGUR,BERAS,1150,11301050
664,8/28/2020,TOKO BUNGUR,GULA,50,590000
665,8/31/2020,TOKO DEWI AFRITA ,BERAS,1500,15727500
666,8/31/2020,TOKO ABIZAR,BERAS,100,1019000
667,8/31/2020,TOKO ARDO,BERAS,310,3270500
668,8/31/2020,TOKO ARDO,GULA,150,1770000
669,9/7/2020,TOKO MAJU TERUS,GULA,300,3540000
670,9/9/2020,TOKO IRVA,BERAS,600,6330000
671,9/9/2020,TOKO BOB-i,BERAS,900,9122400
672,9/9/2020,TOKO ISNANI SITI RAFIAH ,BERAS,2000,21590000
673,9/9/2020,TOKO ENDANG HARTATI ,BERAS,2000,21590000
674,9/9/2020,TOKO URAI INA KURNIA ,BERAS,2000,21590000
675,9/9/2020,TOKO KHET MEN ,BERAS,1000,10795000
676,9/10/2020,Warung Nak Zihan,BERAS,750,8088750
677,9/10/2020,Warung Nak Zihan,BERAS,150,1582500
678,9/14/2020,TOKO BU YULI,BERAS,250,2637500
679,9/14/2020,TOKO BU YULI,BERAS,100,1013600
680,9/14/2020,TOKO IDAWATI ,BERAS,210,2266950
681,9/14/2020,TOKO SILVIANA ,BERAS,1500,16192500
682,9/14/2020,TOKO AGUSTINUS ,BERAS,3000,32385000
683,9/14/2020,TOKO ASEP SAFRUDIN ,BERAS,400,4318000
684,9/14/2020,TOKO SUNDARIANTO ,BERAS,400,4318000
685,9/14/2020,TOKO IMIN ,BERAS,4000,43180000
686,9/14/2020,TOKO JUANTI ,BERAS,1500,16192500
687,9/14/2020,TOKO PRAYOGA ,BERAS,2000,21590000
688,9/14/2020,TOKO YAKOB ,BERAS,6000,64770000
689,9/14/2020,TOKO DEWI AFRITA ,BERAS,5500,59372500
690,9/14/2020,TOKO SUKARDI ,BERAS,1800,19431000
691,9/14/2020,TOKO DIDIK PRIOJADMIKO ,BERAS,1500,16192500
692,9/14/2020,TOKO SITI CHOMSAH ,BERAS,300,3238500
693,9/14/2020,TOKO BUNAWI ,BERAS,2500,26987500
694,9/15/2020,TOKO ARI YANTO ,BERAS,1800,19431000
695,9/15/2020,TOKO AMRAN ,BERAS,250,2698750
696,9/15/2020,TOKO NURFADILAH ,BERAS,1300,14033500
697,9/15/2020,TOKO ENDANG HARTATI ,BERAS,2000,21590000
698,9/16/2020,TOKO ALEXANDER Y. ,BERAS,1500,16192500
699,9/16/2020,TOKO HERMANSYAH ,BERAS,500,5397500
700,9/16/2020,TOKO ENDANG SUSILAWATI ,BERAS,12000,129540000
701,9/16/2020,TOKO HERMANTO ,BERAS,2500,26987500
702,9/16/2020,TOKO SARDIYANTO ,BERAS,2000,21590000
703,9/17/2020,TOKO USAHA ,BERAS,950,9951250
704,9/17/2020,TOKO USAHA ,BERAS,150,1474050
705,9/17/2020,TOKO BU YULI,BERAS,2500,26375000
706,9/21/2020,TOKO ABIZAR,BERAS,850,8352950
707,9/22/2020,TOKO SUKARDI ,BERAS,1800,18873000
708,9/22/2020,TOKO DWI SUSILO ,BERAS,1600,16776000
709,9/22/2020,TOKO YENNI SUSILAWATI ,BERAS,1500,15727500
710,9/22/2020,TOKO SIMON SUMARDI ,BERAS,1200,12582000
711,9/22/2020,TOKO EKO BUDI WINASIS ,BERAS,240,2516400
712,9/22/2020,YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,BERAS,190,2280000
713,9/22/2020,YAYASAN KESEJAHTERAAN PEGAWAI (YKP) BNI,BERAS,76,1748000
714,9/23/2020,TOKO DWIANA MARYATI ,BERAS,800,8636000
715,9/23/2020,TOKO AHMAD PUTRA ,BERAS,250,2698750
716,9/23/2020,TOKO APRIYANTO ,BERAS,3000,32535000
717,9/23/2020,TOKO FATMAWATI ,BERAS,1000,10845000
718,9/23/2020,TOKO NURDIAH ,BERAS,1000,10845000
719,9/23/2020,TOKO SIMUS ,BERAS,500,5422500
720,9/23/2020,TOKO SOFIAN ,BERAS,2000,21690000
721,9/23/2020,TOKO IIP KUSPOYO ,BERAS,170,1843650
722,9/28/2020,TOKO FEBRIANTI INDAH LESTARI ,BERAS,1500,15727500
723,9/28/2020,TOKO PRAYOGA ,BERAS,2000,20970000
724,9/28/2020,TOKO YULIANA ,BERAS,3500,36697500
725,9/28/2020,TOKO EKO BUDI WINASIS ,BERAS,160,1677600
726,9/28/2020,TOKO FLORENTINA ,BERAS,500,5242500
727,9/28/2020,TOKO RUSMALA ,BERAS,500,5242500
728,9/28/2020,TOKO AGUSTINUS ,BERAS,2000,20970000
729,9/28/2020,TOKO QOYIM MASYAHARI ,BERAS,500,5242500
730,9/28/2020,TOKO AHMAD PUTRA ,BERAS,230,2411550
731,9/28/2020,TOKO IIP KUSPOYO ,BERAS,810,8492850
732,9/29/2020,TOKO SUKA SUKA,BERAS,1100,11149600
733,9/29/2020,TOKO SUKA SUKA,DAGING,100,8816000
734,9/29/2020,TOKO BERKAH DUA PUTRA,BERAS,630,6646500
735,9/29/2020,TOKO BERKAH DUA PUTRA,BERAS,500,5064000
736,10/5/2020,TOKO HANAFI,BERAS,220,2321000
737,10/5/2020,TOKO HANAFI,BERAS,50,506400
738,10/5/2020,TOKO HANAFI,DAGING,40,3526400
739,10/5/2020,TOKO DIDIK PRIOJADMIKO ,BERAS,1500,15727500
740,10/5/2020,TOKO URAI INA KURNIA ,BERAS,2300,24115500
741,10/5/2020,TOKO DEWI AFRITA ,BERAS,1500,15727500
742,10/5/2020,TOKO ARI YANTO ,BERAS,1800,18873000
743,10/5/2020,TOKO ALEXANDER Y. ,BERAS,1000,10485000
744,10/5/2020,TOKO JUANTI ,BERAS,800,8388000
745,10/5/2020,TOKO APRIYANTO ,BERAS,300,3145500
746,10/5/2020,TOKO HENDRA. S ,BERAS,1000,10485000
747,10/7/2020,TOKO KOPERASI KONSUMEN SYARIAH BERKAH BERSEMI,BERAS,270,2848500
748,10/7/2020,TOKO ENDANG SUSILAWATI ,BERAS,5900,61861500
749,10/7/2020,TOKO MIKA ERNAWATI ,BERAS,650,6815250
750,10/7/2020,TOKO MUHAMMAD RONI ,BERAS,400,4194000
751,10/7/2020,TOKO EKA SAPUTRA JAYA ,BERAS,1000,10485000
752,10/7/2020,TOKO ASUN ,BERAS,1500,15727500
753,10/7/2020,TOKO MOMONG ALPINA ,BERAS,500,5242500
754,10/12/2020,ANAPSA,BERAS,350,3692500
755,10/12/2020,ANAPSA,BERAS,1000,10128000
756,10/12/2020,ANAPSA,GULA,50,590000
757,10/12/2020,ANAPSA,DAGING,25,2204000
758,10/12/2020,TOKO BUNAWI ,BERAS,2500,26212500
759,10/12/2020,TOKO DWI SUSILO ,BERAS,1100,11533500
760,10/12/2020,TOKO DEWI AFRITA ,BERAS,4000,41940000
761,10/12/2020,TOKO IDAWATI ,BERAS,210,2201850
762,10/12/2020,TOKO AMRAN ,BERAS,300,3145500
763,10/12/2020,TOKO IMIN ,BERAS,2000,20970000
764,10/15/2020,TOKO SIMON SUMARDI ,BERAS,1300,13630500
765,10/15/2020,TOKO NURFADILAH ,BERAS,2000,20970000
766,10/15/2020,TOKO ASEP SAFRUDIN ,BERAS,200,2097000
767,10/15/2020,TOKO DEWI AFRITA ,BERAS,2000,20970000
768,10/15/2020,TOKO ENDANG HARTATI ,BERAS,1500,15727500
769,10/15/2020,TOKO BERKAH DUA PUTRA,BERAS,280,2954000
770,10/15/2020,TOKO BERKAH DUA PUTRA,GULA,50,590000
771,10/15/2020,TOKO BERKAH DUA PUTRA,DAGING,25,2204000
772,10/15/2020,TOKO BERKAH DUA PUTRA,MIGOR,300,3847800
773,10/15/2020,TOKO BERKAH DUA PUTRA,TEPUNG,100,832600
774,10/15/2020,TOKO MAJU TERUS,MIGOR,300,3847800
775,10/15/2020,TOKO MAJU TERUS,TEPUNG,100,832600
776,10/15/2020,TOKO SIDAK,MIGOR,300,3847800
777,10/15/2020,TOKO SIDAK,TEPUNG,100,832600
778,10/15/2020,SAHABAT ANDA,MIGOR,300,3847800
779,10/15/2020,SAHABAT ANDA,TEPUNG,100,832600
780,10/16/2020,TOKO NURFADILAH ,MIGOR,200,2565200
781,10/16/2020,TOKO NURFADILAH ,TEPUNG,140,1165640
782,10/16/2020,TOKO BUNAWI ,MIGOR,400,5130400
783,10/16/2020,TOKO BUNAWI ,TEPUNG,100,832600
784,10/16/2020,TOKO EKO BUDI WINASIS ,BERAS,210,2201850
785,10/16/2020,TOKO YENNI SUSILAWATI ,BERAS,2000,20970000
786,10/16/2020,TOKO ENDANG SUSILAWATI ,BERAS,3000,31455000
787,10/16/2020,TOKO YAKOB ,BERAS,2000,20970000
788,10/20/2020,TOKO SIMON SUMARDI ,DAGING,50,4408000
789,10/20/2020,TOKO SIMON SUMARDI ,MIGOR,600,7695600
790,10/20/2020,TOKO SIMON SUMARDI ,TEPUNG,100,832600
791,10/20/2020,TOKO ARI YANTO ,MIGOR,600,7695600
792,10/20/2020,TOKO ARI YANTO ,TEPUNG,100,832600
793,10/20/2020,TOKO ALEXANDER Y. ,BERAS,1500,16267500
794,10/20/2020,TOKO YULIANA ,BERAS,3510,38065950
795,10/20/2020,TOKO HENI LAY ,BERAS,500,5422500
796,10/20/2020,TOKO SUBIANTO ,BERAS,210,2277450
797,10/20/2020,TOKO SUNDARIANTO ,BERAS,400,4338000
798,10/20/2020,TOKO EKO BUDI WINASIS ,BERAS,170,1843650
799,10/20/2020,TOKO DIDIK PRIOJADMIKO ,BERAS,1500,16267500
800,10/20/2020,TOKO HERMANTO ,BERAS,2990,32426550
